study	transformed	untransformed	method
ARIC_EA	ARIC_FF_smk_CHR13_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR13_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR14_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR14_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR15_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR15_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR16_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR16_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR17_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR17_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR18_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR18_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR19_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR19_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR2_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR2_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR20_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR20_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR21_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR21_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR22_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR22_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR3_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR3_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR4_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR4_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR5_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR5_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR6_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR6_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR7_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR7_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR8_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR8_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FF_smk_CHR9_mrb_10112019.txt.gz	ARIC_EA_FF_smk_CHR9_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR1_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR1_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR10_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR10_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR11_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR11_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR12_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR12_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR13_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR13_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR14_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR14_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR15_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR15_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR16_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR16_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR17_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR17_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR18_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR18_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR19_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR19_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR2_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR2_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR20_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR20_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR21_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR21_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR22_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR22_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR3_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR3_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR4_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR4_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR5_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR5_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR6_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR6_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR7_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR7_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR8_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR8_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_nonsmk_CHR9_mrb_10112019.txt.gz	ARIC_EA_FVC_nonsmk_CHR9_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR1_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR1_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR10_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR10_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR11_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR11_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR12_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR12_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR13_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR13_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR14_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR14_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR15_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR15_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR16_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR16_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR17_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR17_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR18_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR18_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR19_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR19_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR2_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR2_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR20_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR20_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR21_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR21_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR22_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR22_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR3_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR3_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR4_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR4_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR5_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR5_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR6_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR6_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR7_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR7_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR8_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR8_untransformed_mrb_08092020.txt.gz	check
ARIC_EA	ARIC_FVC_smk_CHR9_mrb_10112019.txt.gz	ARIC_EA_FVC_smk_CHR9_untransformed_mrb_08092020.txt.gz	check
B58C	B58C-HRC_FEV1_nonsmk_CHR1-22_DPS_28052019.txt.gz	B58C-HRC_FEV1-untrans_nonsmk_CHR1-22_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FEV1_nonsmk_CHRX_females_DPS_28052019.txt.gz	B58C-HRC_FEV1-untrans_nonsmk_CHRX_females_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FEV1_nonsmk_CHRX_males_DPS_28052019.txt.gz	B58C-HRC_FEV1-untrans_nonsmk_CHRX_males_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FEV1_smk_CHR1-22_DPS_28052019.txt.gz	B58C-HRC_FEV1-untrans_smk_CHR1-22_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FEV1_smk_CHRX_females_DPS_28052019.txt.gz	B58C-HRC_FEV1-untrans_smk_CHRX_females_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FEV1_smk_CHRX_males_DPS_28052019.txt.gz	B58C-HRC_FEV1-untrans_smk_CHRX_males_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FVC_nonsmk_CHR1-22_DPS_28052019.txt.gz	B58C-HRC_FVC-untrans_nonsmk_CHR1-22_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FVC_nonsmk_CHRX_females_DPS_28052019.txt.gz	B58C-HRC_FVC-untrans_nonsmk_CHRX_females_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FVC_nonsmk_CHRX_males_DPS_28052019.txt.gz	B58C-HRC_FVC-untrans_nonsmk_CHRX_males_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FVC_smk_CHR1-22_DPS_28052019.txt.gz	B58C-HRC_FVC-untrans_smk_CHR1-22_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FVC_smk_CHRX_females_DPS_28052019.txt.gz	B58C-HRC_FVC-untrans_smk_CHRX_females_DPS_18092020.txt.gz	check
B58C	B58C-HRC_FVC_smk_CHRX_males_DPS_28052019.txt.gz	B58C-HRC_FVC-untrans_smk_CHRX_males_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PCT_nonsmk_CHR1-22_DPS_28052019.txt.gz	B58C-HRC_FF-untrans_nonsmk_CHR1-22_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PCT_nonsmk_CHRX_females_DPS_28052019.txt.gz	B58C-HRC_FF-untrans_nonsmk_CHRX_females_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PCT_nonsmk_CHRX_males_DPS_28052019.txt.gz	B58C-HRC_FF-untrans_nonsmk_CHRX_males_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PCT_smk_CHR1-22_DPS_28052019.txt.gz	B58C-HRC_FF-untrans_smk_CHR1-22_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PCT_smk_CHRX_females_DPS_28052019.txt.gz	B58C-HRC_FF-untrans_smk_CHRX_females_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PCT_smk_CHRX_males_DPS_28052019.txt.gz	B58C-HRC_FF-untrans_smk_CHRX_males_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PEF_nonsmk_CHR1-22_DPS_28052019.txt.gz	B58C-HRC_PEF-untrans_nonsmk_CHR1-22_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PEF_nonsmk_CHRX_females_DPS_28052019.txt.gz	B58C-HRC_PEF-untrans_nonsmk_CHRX_females_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PEF_nonsmk_CHRX_males_DPS_28052019.txt.gz	B58C-HRC_PEF-untrans_nonsmk_CHRX_males_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PEF_smk_CHR1-22_DPS_28052019.txt.gz	B58C-HRC_PEF-untrans_smk_CHR1-22_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PEF_smk_CHRX_females_DPS_28052019.txt.gz	B58C-HRC_PEF-untrans_smk_CHRX_females_DPS_18092020.txt.gz	check
B58C	B58C-HRC_PEF_smk_CHRX_males_DPS_28052019.txt.gz	B58C-HRC_PEF-untrans_smk_CHRX_males_DPS_18092020.txt.gz	check
BHS	BHS_FEV1_all_CHR1_BHM_13102019.txt.gz	BHS_FEV1_all_CHR1_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR10_BHM_13102019.txt.gz	BHS_FEV1_all_CHR10_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR11_BHM_13102019.txt.gz	BHS_FEV1_all_CHR11_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR12_BHM_13102019.txt.gz	BHS_FEV1_all_CHR12_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR13_BHM_13102019.txt.gz	BHS_FEV1_all_CHR13_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR14_BHM_13102019.txt.gz	BHS_FEV1_all_CHR14_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR15_BHM_13102019.txt.gz	BHS_FEV1_all_CHR15_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR16_BHM_13102019.txt.gz	BHS_FEV1_all_CHR16_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR17_BHM_13102019.txt.gz	BHS_FEV1_all_CHR17_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR18_BHM_13102019.txt.gz	BHS_FEV1_all_CHR18_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR19_BHM_13102019.txt.gz	BHS_FEV1_all_CHR19_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR2_BHM_13102019.txt.gz	BHS_FEV1_all_CHR2_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR20_BHM_13102019.txt.gz	BHS_FEV1_all_CHR20_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR21_BHM_13102019.txt.gz	BHS_FEV1_all_CHR21_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR22_BHM_13102019.txt.gz	BHS_FEV1_all_CHR22_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR3_BHM_13102019.txt.gz	BHS_FEV1_all_CHR3_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR4_BHM_13102019.txt.gz	BHS_FEV1_all_CHR4_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR5_BHM_13102019.txt.gz	BHS_FEV1_all_CHR5_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR6_BHM_13102019.txt.gz	BHS_FEV1_all_CHR6_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR7_BHM_13102019.txt.gz	BHS_FEV1_all_CHR7_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR8_BHM_13102019.txt.gz	BHS_FEV1_all_CHR8_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_all_CHR9_BHM_13102019.txt.gz	BHS_FEV1_all_CHR9_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR1_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR1_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR10_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR10_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR11_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR11_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR12_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR12_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR13_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR13_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR14_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR14_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR15_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR15_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR16_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR16_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR17_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR17_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR18_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR18_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR19_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR19_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR2_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR2_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR20_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR20_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR21_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR21_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR22_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR22_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR3_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR3_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR4_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR4_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR5_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR5_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR6_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR6_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR7_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR7_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR8_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR8_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_nonsmk_CHR9_BHM_13102019.txt.gz	BHS_FEV1_nonsmk_CHR9_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR1_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR1_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR10_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR10_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR11_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR11_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR12_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR12_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR13_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR13_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR14_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR14_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR15_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR15_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR16_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR16_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR17_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR17_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR18_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR18_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR19_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR19_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR2_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR2_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR20_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR20_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR21_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR21_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR22_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR22_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR3_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR3_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR4_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR4_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR5_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR5_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR6_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR6_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR7_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR7_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR8_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR8_BHM_20092020.txt.gz	check
BHS	BHS_FEV1_smk_CHR9_BHM_13102019.txt.gz	BHS_FEV1_smk_CHR9_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR1_BHM_13102019.txt.gz	BHS_FF_all_CHR1_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR10_BHM_13102019.txt.gz	BHS_FF_all_CHR10_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR11_BHM_13102019.txt.gz	BHS_FF_all_CHR11_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR12_BHM_13102019.txt.gz	BHS_FF_all_CHR12_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR13_BHM_13102019.txt.gz	BHS_FF_all_CHR13_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR14_BHM_13102019.txt.gz	BHS_FF_all_CHR14_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR15_BHM_13102019.txt.gz	BHS_FF_all_CHR15_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR16_BHM_13102019.txt.gz	BHS_FF_all_CHR16_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR17_BHM_13102019.txt.gz	BHS_FF_all_CHR17_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR18_BHM_13102019.txt.gz	BHS_FF_all_CHR18_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR19_BHM_13102019.txt.gz	BHS_FF_all_CHR19_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR2_BHM_13102019.txt.gz	BHS_FF_all_CHR2_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR20_BHM_13102019.txt.gz	BHS_FF_all_CHR20_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR21_BHM_13102019.txt.gz	BHS_FF_all_CHR21_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR22_BHM_13102019.txt.gz	BHS_FF_all_CHR22_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR3_BHM_13102019.txt.gz	BHS_FF_all_CHR3_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR4_BHM_13102019.txt.gz	BHS_FF_all_CHR4_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR5_BHM_13102019.txt.gz	BHS_FF_all_CHR5_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR6_BHM_13102019.txt.gz	BHS_FF_all_CHR6_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR7_BHM_13102019.txt.gz	BHS_FF_all_CHR7_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR8_BHM_13102019.txt.gz	BHS_FF_all_CHR8_BHM_20092020.txt.gz	check
BHS	BHS_FF_all_CHR9_BHM_13102019.txt.gz	BHS_FF_all_CHR9_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR1_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR1_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR10_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR10_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR11_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR11_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR12_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR12_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR13_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR13_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR14_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR14_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR15_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR15_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR16_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR16_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR17_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR17_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR18_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR18_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR19_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR19_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR2_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR2_BHM_20092020.txt.gz	check
BHS	BHS_FF_nonsmk_CHR20_BHM_13102019.txt.gz	BHS_FF_nonsmk_CHR20_BHM_20092020.txt.gz	check
